prod_ai,group,target_role,pt,a,b,c,d,expected,n_drug,n_event,N,prr,ror,ror_ci_lower,ror_ci_upper,chi2,pval,pval_adj,fdr_sig,ebgm,eb05,eb95,ic,ic025,criteria_met,is_signal,signal_strength
tirzepatide,trending,study,MUSCULOSKELETAL STIFFNESS,23,28218,6916,1374130,139.0520873321048,28241,6939,1409287,0.1661,0.1655,0.1103,0.2481,98.4721,3.2964289133918136e-23,1.5401433789207872e-22,True,0.1656,0.1162,0.2304,-2.5701,-3.1597,0,False,None
tirzepatide,trending,study,MYALGIA,129,28112,11019,1370027,223.3971277674455,28241,11148,1409287,0.5747,0.5727,0.4814,0.6813,40.5945,1.873311494370177e-10,5.808565175942844e-10,True,0.5774,0.4985,0.6659,-0.7899,-1.0388,0,False,None
tirzepatide,trending,study,MYASTHENIA GRAVIS,3,28238,1554,1379492,31.201052021341287,28241,1557,1409287,0.1101,0.11,0.0385,0.314,25.1243,5.375010973332379e-07,1.3683364145090196e-06,True,0.0978,0.0354,0.2269,-3.1791,-4.8117,0,False,None
tirzepatide,trending,study,MYOCARDIAL INFARCTION,47,28194,5846,1375200,118.091072294004,28241,5893,1409287,0.3973,0.3963,0.2978,0.5274,43.2408,4.8401053275037466e-11,1.5416012433746548e-10,True,0.3981,0.3114,0.5029,-1.32,-1.7325,0,False,None
tirzepatide,trending,study,MYOPIA,3,28238,128,1380918,2.6251366825919775,28241,131,1409287,1.3319,1.332,0.4606,3.8518,0.0,1.0,1.0,False,1.1271,0.4086,2.6157,0.1634,-1.4691,0,False,None
tirzepatide,trending,study,MYOSITIS,3,28238,648,1380398,13.045526567689903,28241,651,1409287,0.2639,0.2638,0.0923,0.7543,7.1307,0.00757765504830252,0.013103213594661451,True,0.2329,0.0844,0.5406,-1.9524,-3.585,0,False,None
tirzepatide,trending,study,NASAL CONGESTION,18,28223,5595,1375451,112.4800931251051,28241,5613,1409287,0.1617,0.1611,0.1021,0.2544,80.449,2.9830783859021437e-19,1.2658344704274057e-18,True,0.1603,0.1073,0.2323,-2.6105,-3.277,0,False,None
tirzepatide,trending,study,NASOPHARYNGITIS,168,28073,17848,1363198,361.02643109600814,28241,18016,1409287,0.4616,0.4584,0.3937,0.5338,106.1257,6.920185017129723e-25,3.359865997454359e-24,True,0.4654,0.4092,0.5274,-1.1014,-1.3195,0,False,None
tirzepatide,trending,study,NAUSEA,3106,25135,49253,1331793,1049.2330653727736,28241,52359,1409287,3.0842,3.3418,3.2161,3.4725,4270.9153,0.0,0.0,True,2.96,2.8737,3.0484,1.5653,1.5145,3,False,None
tirzepatide,trending,study,NECK MASS,6,28235,209,1380837,4.308430433261642,28241,215,1409287,1.5172,1.5173,0.6951,3.3123,0.3363,0.5619500577215653,0.6536879614663318,False,1.3763,0.6769,2.5563,0.4349,-0.7195,0,False,None
